Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Alife Foods,Germany-based company producing cultured schnitzel ,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,Europe,Germany,Sachsen,Leipzig,http://alifefoods.de/,2019,"Steffen Sonnenberg, Dat Tran, Joe Natoli, Bernd Boeck",1569833371395.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/1lg2r7wUOU3mOhlpxKpojw/5U6YXHw32-plEbr9z94_F8mFYc_7ldH8u11Jhu3KQ20V6GEVJMUYi9V3q1T7sSWAzEQXKTwv8S5plxStw0MkwlzPmCgEuAMPmbzbfH_j47y-Il4Ptf7_XyY6oidBdLhB40VYPEIFmUpR--0JqNEUCQ/Vg62WYSHcRVzcwoMJdAJqFDI-3PXwDvIzWvrBLDgQ5A)
Cubiq Foods,"Spain-based startup working on cultivated fat, also developing cell-based omega-3",Cultivated,Meat,Specialized (focused on alternative proteins),Ingredient optimization,,,,Europe,Spain,,Barcelona,http://www.cubiqfoods.com/,2018,"Andrés Montefeltro, Raquel Revilla",1614538225319.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/EGxGCgHvZnaaADlFhTkceQ/6bz7H-mqDCM7B46YfyPNt8z3Vu2TgNxAO9V9SP5BzzEdr0Vqe8iJLR18Rc8pvER3xjgqo-kCcjcHxw-lNFHEQ3nBEooQm4LW7tZnjnflQmPayTiBrKQq79lwSQWPyu9uGL-PRBVE0TLcrwyIsDL68w/oyz89xbsw0OftbAhr79a2V934ZSF7r6b3zF0s2rg5Fs)
Gosh!,"Produces plant-based burgers, bites, and sausages.",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken","Chickpea,Mushrooms",Europe,United Kingdom,N/A,London,https://www.goshfood.com/,2002,Jane Rayner,Screen Shot 2021-02-08 at 3_35_34 PM.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/tV6XZAQxDRyTREI2prKDzw/oRDtdJwUvxuESt5oHFQSrZCpdUY9kE2A96KJPVzHH-Fa0K7svhcMBs3q5OK8BzrpruQF3qGoP6bpFac-_UsdkRpMD44bBozXHc_2YPHT_okdCTm3JSATFUZV_VMwTYbiYtJ5xcOxwCCYQCg3I1mfrMqjOOiAv8wwHMexf1KfpY8/fYPdXj2HwBpiqlZVADoN7mtyRGdA_NJjp-bWWxklgY0)
SuperMeat,Israel-based company developing cultivated chicken,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Chicken,,Africa/Middle East,Israel,,Rehovot,https://www.supermeat.com/,2015,"Ido Savir, Koby Barak, Shir Friedman",Screen Shot 2021-02-08 at 3_41_44 PM.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/XUvp2MSL3eUMfsMcXpGQvA/1u3mR-gzsQW7YGoI-F5s2KYppLuQ11cHo-lBlPf48KVDWXejnoZxkR-d4Qc03q0FouJqFxBNVIVcY0EsTEe6HluQnh4m7h-Q99vLyxqUcI4X4vEpC07a3HhBHsCAIWCATfEmBTs-OGyBOI6Z1OqinkUbllvhHDUQumcxPhhT2zo/W2xSKguselLnOHjIVGZSw8n8dFA91jXdAC3nCFVtFDw)
Believer Meats,"Israel-based startup working on cultivated meat products, such as chicken kebab, using muscle and fat production and media recycling (formerly known as Future Meat Technologies) ",Cultivated,Meat,Specialized (focused on alternative proteins),"Cell line development,Scaffolding and structure,End product formulation and manufacturing",Whole muscle meat/seafood,,,Africa/Middle East,Israel,,Jerusalem,https://www.future-meat.com/,2017,Yaakov Nahmias,logo.svg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/sNx_p6jfVtKWZzXN5w33NQ/2o_c6vIrKqxw7ZcleKDNfvfiZU3jZnjxxNB7kI8CLlbsX4_B8GYxB5Bb_9decY_SfXnN9kzs8c9W9chOnqESsQ2SW2Dm91Thyhh7EHZCclJ5XsUYY7hn4DfOq-43vgjqOhynB81HfzQXvePhyemQqQ/j9EE-yTff5JY_9qMhHZfUA8iJ4z9kBwnDsoGZjiW4c8)
Lab Farm Foods,"U.S.-based company producing various cultivated meats, including pork and chicken nuggets",Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,"Pork,Chicken",,U.S. and Canada,United States,New York,New York,https://www.labfarmfoods.com/,2019,"Dave Schnettler, Tiziano Barberi",logo (3).svg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/SV_WTx33rs4uLNS8F0JSig/mtFsWCW5r4rVRah6Extje3qswGdiAOA4w3Z1A4FgZJesnhvFIfyqDT1WKx3t2_7mOS7P0Pk0yDn6AZSraKNWDyU-hyLwr8pliWXJmORO7cNZ6qkFzFIqnb-QdiSPzs-10FjSuxIceKtzdVqhwh0LjA/wfO9U4CqWXsw1ostJdsRo5UIVTLPlYBA7l27fq95uoo)
Wildtype,U.S.-based startup working on cultivated salmon,Cultivated,Seafood,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Cell line development",Whole muscle meat/seafood,Fish,,U.S. and Canada,United States,California,San Francisco, https://www.wildtypefoods.com/,2017,Justin Kolbeck and Aryé Elfenbein,Primary_Wordmark-RGB.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/H_kY11JbJZcgmi8s3VfxBg/NfWwd6qOSCoTNdeXgbDFkzi_ywn8rCi6QUA7euzY2F_-FjNtaFq6MrINadZMRphfbrqLFDuvMi0NDDfxAWqZNjCwLxi0YfzuGZWLLX-GKeImxfVp75XD-0iHIhjSCxuJiG44Kf1xzUNg-Y8RQ0y0fMjzVFySOZp8hq0KYEG_aYk/CdV7Bo53yqYz1SO3FD3oYu-arUvGhg62ITSFQDbYm30)
Mosa Meat,Netherlands-based startup working on cultivated beef in collaboration with Mark Post at Maastricht University ,Cultivated,Meat,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Cell culture media,Bioprocess design,Cell line development",,Beef/veal,,Europe,Netherlands,,Maastricht,https://www.mosameat.com/,2015,"Peter Verstrate, Mark Post",MosaMeat+Primary+Logo+Deep+Blue+Colour.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/DDkXv7fANuGIHFYePYq7lQ/xk_6P8n_ycU6SOCYACZOPOE0DBu0Vkc7mtDFbBxjLelhxnJVQXMpTYDQ0bTwMsUsx1GVpzAaPkkN5V7-eC8MwlYdR5sRV-v94meNywDGEiQ5UIZIFQjYFlSX_97DVAUxxlIQ5e06Pa7PDOnyc99Fv7f6jo_LNWfWJZF8u7XcJddk3aXZh80XFpNwsuGNl_WN/lQfu8lzkt8IHWw__lmiC3OS5zNHZLEgrEZ_Z5RYqAHQ)
Dutch Weed Burger,"Producers of wide range of seaweed-based products like burgers, seaweed balls, sea-nuggets, and sea-wharma.",Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Fish",Seaweed,Europe,Netherlands,,Amsterdam,http://dutchweedburger.com/en/ ,2012,"Mark Kulsdom, Lisette Kreischer",Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/fypr1o19Rs1iWwG7KPU4HA/4iXJMOoi604zqnEDq78u3ij9j3Xxrj_E9pEDJmTXrT3w1RZ40S58vLKYW8uyy_87eh_0dRa-tE0kLpEHtyBouNoIUumwRVOT6jQSxOF8iuQZpuDyTpXgPi9OlYnvOH2ETJZZv0WLeIn_8gc2kubiWg/3u_rREi8272EzViLAdsIrqnssDlW1rQeW-pi-5-tQQs)
Lightlife Foods,"Produces prepared meals/burritos/breakfast sandwiches, some of which are vegan/vegetarian. Benevolent bacon, veggie sausage, and seitan also sold separately",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Pork,Beef/veal,Chicken",Pea,U.S. and Canada,United States,Massachusetts,Turners Falls,https://lightlife.com/,1979,Michael Cohen,Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/mgWaMXcV4FdC3Nfx12PiMw/QpI8DjHE0w5ZPwpNbDHi_f3Tfsl1-UX2zASqfWS7iNngM2IvZEj4CIrY1alRhjur8eVgpl5rIn6k1f2FQsJVspNX2fpydcKfpV2P704TrX-tpVAY1sOgN6EP2dqVZRioh4rln6ciF_n9jktQgCaiZw/kvccsQNp03Na4w7exumHzSst5R2zNJ0q4CHrG6x4o_Y)
Seva Foods,Produces plant-based freeze dried ice cream and coconut jerky,Plant-based,"Dairy,Meat",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other dairy,Other meat/seafood",,Coconut,U.S. and Canada,United States,California,Encinitas,http://sevafoods.com/,2017,Michelle May,sevafoods.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/X8W0nuR15MijZsr_SaKeZw/dWG0LRk5YaClYbp5PULyihaMTz6H-vwe4VU53rDrvJkTeT_BG63HU7gZPr8NGf_X0QgZkGCIxhY1OYSp_dG-ZUcutO8ekOhpfJzu_eREGTgQICssWFX517qCgcgQDUBlWUMJ1jaCpK8d3i4kXm2oXw/HgOKZfCR8hDS5g3IYcevrkb9IR9nG15S8F_Y9_9raew)
Evo Foods India Pvt. Ltd.,Startup working on lentil-based egg replicas,Plant-based,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,,Asia Pacific,India ,Maharashtra,Mumbai,https://evofoods.in/,2019,"Kartik Dixit, Shraddha Bhansali",etwqbqpt1dn1z2z4cxoa.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/8yeSpgU1jTLEzP10Gpql7g/Vg2xRoMFlzhIcFQCsVn6GR0fGFfnbfivyIJGhjZi4akzbmCRT4TkAtRThFg4XypLv9PTP8obv1aibxya0fOkBQFsb494QBHgyOwYYsipB-Il0qb4SmURdgLz3_GTjWx32m6rhJUu1L8LrLti7HBCo0EBDWV_AsPjBVAUbo5kmQE/PReoaxbvdzn0m9X_BW7ipGpj9jX0xnSaoq9r-noZ_jY)
Jewels of the Forest,Produces mushroom-based jerky,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,Beef/veal,Mushrooms,U.S. and Canada,United States,California,Occidental,http://www.shroomjerky.com/,2016,Darren Racusen,uj0xtiiqrqw4fli2vsz4.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/5cgO1bbXmDsTqZTz4KU70w/XN9lwkYAmpMCW74bc2hfe84B012eNQ7bQFeDraBn66f9rnWoPeMsbGeuwIN53Pam9jSh9jWVgDV5JM0aBZwu4hJdsl5Qe0s6MQgrZYD353g1UrhF73clKrh2F2gWxAcMU-yMmrBz6GOB4mYW6y0gUftV-CqqxdaiRCOXOMCoHk4/Bf-Ad2k_f9i5Eiu8wzwQYRITlT2DXhR_BMZAjjz7v-Y)
Wheaty,Maker of seitan-based meats,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Cheese",,"Wheat,Coconut,Potato",Europe,Germany,,,https://www.wheaty.com/,1993,,Screen Shot 2021-01-06 at 11_46_46 PM.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/NhSIoxitHk3mUbLAFupWYA/wDiuuhK8w8JJ7yIjfbg8eeZnKB1Fc12PbEkSckEJNr0UbhMkktzFN49REsLSLzc6kvm061k7NZsA4B6leAhgYoFvR8ZK2yASI4n3gt2d_i8CUAB9vmE61oReQyN1RLcKpOzd9CGrrDv16tRlbpbUvh8bpS5uNVu9tkWblPAgF7Q/k3BNmgQoakVhvgibTHX_Il76UqP1kRBwho2y7jjIOSI)
Vegeat Foods,Maker of plant-based ground beef and burger patties from peas and natural ingredients,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,"Pea,Coconut,Tapioca",U.S. and Canada,Canada,,,https://vegeatfoods.com/,2018,,vegeat-logo-wh.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Dv4llBqialIO7ALLqesBzA/vA_5rcuFUIYmUY3JddcSfiLRIqAuo3wlS12X37tjjd0nzVlIPVChH5A7wgLAhFw6CaxsvrYNITLTLKE15IaECfFvbZhKxv-6MAhf9VcwuXogQjbDXrqxQXZQ8FLRvoR230zCPJFzOXgdKUcmKGEjjA/BQpSQKkWShUnvwglmZxK4JUT53Qfoxhx34kNxT2ueVI)
Vegan Cartel,Maker of vegan bacon sold direct to consumer,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,Wheat,Europe,United Kingdom,,,https://www.vegancartel.co.uk/,2018,,Vegan Cartel London logo.webp (https://v5.airtableusercontent.com/v2/24/24/1704348000000/sa4NFIRviCVvf5Eb93VOyw/GtWHFHqLzMXZaQ8jG1zjwRKqMboZxTEy8ThdQYjOXxbCnZJldnBs5BvkfQ0-dlvlXsKvRqRUxGmKx7nJaH1VxvQRMaS_O1O6SV4gMaB-oGokZo1erD-VZ4t3DDbp0H7mLXfNayVOI1FYvuZfE7pFY5qZxbOxgfyEO8ku6UrlDeE/qyGQSWwMioVxiVO1I200Yd63q1X9jb93qDF-gs4ylUw)
Novish,"Producer of fish cakes, nuggets, and fingers from peas and wheat",Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Fish,"Wheat,Pea",Europe,Netherlands,,,https://www.novish.eu/,2019,Maiko van der Meer,NoFish_logo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/SOYZzogH5PlTm1SNfxtnkQ/FRUjzHz11CHp7ZsShGDKBus8QYY9EI9j9F3TT16FQrOM634gSnH8S8-XngNRmAITEgTZ4yTdSXWwWSUqk3wvtOkG4XgRsBWvRz77hbAX6JEaNJB0aebx9utjMyPP42695IODEdhifb2ZWE6zRLSBJw/Kvuon_S6qmOaO5WRELGaBm8MOvP6oA77fWizTkmcWDY)
Starlite Cuisine,Maker of plant-based enchiladas and taquitos from soy and pea protein ,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Pork,Beef/veal","Soy,Mushrooms,Chickpea,Pea",U.S. and Canada,United States,California,Seal Beach,https://starlitecuisine.com/,2000,"June Wang Lim, Selene Wang",starlitecuisine.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Sm2WJ-Ddf_3v7rcwmulsZA/UMq6m9EYLz1SnoDPaku_uI2yfmQcebiRy0kBqFrcJ6Tj7ofrJpWkKtj5Cabp37CkS-XgAZoXIdSlEFHYLqp-Tl8eXIL12uZDdw4ql2zlGXaolLE-uE0fPq0_fsGZFrV_9sucySBSDBiEM7dkOVsAXw/T7UD44iIZNyDj-toTMZVLGPxs5pyq4xtTSvaGfplz2w)
Primal Spirit Foods,"Produces plant-based jerky (soy, tempeh, and shiitake mushroom-based).",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Beef/veal,Wheat,U.S. and Canada,United States,West Virginia ,"Moundsville, WV",http://www.primalspiritfoods.com/,2001,,Primal.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/rif3UVIcD_1ZzhTJqg0fPg/Q5f-LGBEB8ptJMyMyeH_U2vWDPUi3sElTmYwf6jpXxh3iAbQlfxvfGYZaW0Dd9f-KjLaTvzwjrdupNANzySGvJ2gSprX_8pvbs8x4z7UccmB6eo2250s31T_kqiIZy6N17NVFn5P-D6-cUm2itog7Q/NWY_SsRLwe_gWrKKF1e7pzMvyY-6CAd9CZQuzjirOrU)
Dr. Praeger's,"Produces frozen veggie burgers, veggie-potato pancakes, appetizers/snacks/side dishes, breaded fish, gefilte fish, and kids’ products. Not all products are vegetarian/vegan, but the veggie burgers are vegan. ",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Turkey","Pea,Soy",U.S. and Canada,United States,New Jersey,Elmwood Park,https://drpraegers.com/,1994,"Peter Praeger, Eric Somberg",DrPraegers_Logo_2019_WEB.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/h1i7ARszeawh78ejbI2hbg/Qafaaa7gdWQStWbt2lD-n_PbGs55HhByVm19BhDCJZWUEz1s7rR-SUAIbDPI6gN3yn7Ib3y7c5Fpf8Ql44VBuLtoV1V4i366SKWnM3FVulfJvy3IS6V8a0xV-tmwLd3NvZg5MAPMe4PCTugWAaedTv4bUswrVkhox7a9KRoNneY/GRCcP-sNek0ZvFDFZJtKQSPbDymbuz24myMI8SxIeLs)
Quorn,"Produces f. venenatum mycoprotein-based meat substitutes. Most products use egg whites for binding, though a vegan line was recently released. Products include chicken cutlets/patties/tenders/nuggets, turkey, burgers, and breakfast products. Parent company is based in the Philippines. ",Biomass fermentation,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood,Other meat/seafood","Chicken,Beef/veal","Wheat,Rice,Mushrooms,Pea,Potato,Fusarium,Egg",Europe,United Kingdom,,Stokesley,http://www.quorn.us/,1985,Lord Rank,quorn_logo.webp (https://v5.airtableusercontent.com/v2/24/24/1704348000000/qeId0daheoI6gfqElqG41w/BhQM2bLeqJjK9cnLQNEeAabXoZjzNSJsV0U5ufAYqYhDtmtKHKX3wtIkBmG--eoCe90WcMZAJxGHPbbm1QDsHIy_cjHfLHGCFhIwkvHXrSAsTXD2E6zPCyAsMI5KOaRle9cKq9B4pT4xLBfEO7bStw/wXQ2GenfwT4g65Jf2EdLWK7Plafvz4QMr7IUlEHmPRs)
Stockeld Dreamery,"Plant-based cheese, then yogurt and ice cream",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,,Europe,Sweden,,Södertälje,https://www.stockeld.com/,2019,"Soroush Tavakoli, Anja Leissner",Stockeld_Logo_Black_RGB.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/hQ6qNVEU7uS36vgO7I2h1Q/kbrzoknsCQHPAqlYfILpnp-roXUKrdy-oD3Xba4DRsZ2dwHaE5ALpEmg5VxIG6SsIhIU14LB441i-REOJCUasdVA3IorwyO8IgYjWOiYV0pm2YCEgbmPQHdM97BILzr-gqzhl6LsAz88KLxSNULJyLkYE4Y_e_DJWq4n_E3sfkM/qaGwmI_1Z9hi1adoCtVskvAi0RqXKfyLYJMAp9fbp5s)
Algama ,"Platform for microalgae-based plant-based foods and ingredients (including egg, seafood, meat, and dairy replacements)",Biomass fermentation,"Food processing infrastructure and equipment,Contract manufacturing/processing,Seafood",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Bioprocess design,Ingredient optimization","Ground meat/seafood,Eggs,Other",Tuna,Algae,"U.S. and Canada,Europe",France,,Paris,http://algamafoods.com/,2013,"Alvyn Severien, Gaëtan Gohin",crhejt5qumk3s9afljpv.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/01l1SFelcwt3wNceAonjkg/JDPlt0NpEjzEoQvnKWqkH932CfioHzO8tNiBe5P3s63jGRDTDMETG65060bOTf3rwYdUCWk8eckvEAi1m2OVY3OYPLerVxEWcbMc23TutHK_9y_zJjyxmN7l5uODGv382qpnCjA86T20bfauzGRIad7pw1z6U6kEQUf5f0h7SM4/9G5_SOgktLWy-ML1fcZ-CctGSYN2ru-mBbJYcpnemZs)
The Honest Stand,Produces plant-based cheese dips,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,United States,Colorado,Arvada,http://www.thehoneststand.com/,2014,"Jeremy Day, Alexandra Carone",Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/cBSuVQABSyLOJ3FkpkpPow/ikVKnukGkLZGOawtiNK_nY52AJ4hHJig4ClRVdQo2FLdGrV8U4PJskeK6KiVicySDN18kHgIXi8FYK3Za1--MACB6pI9SK0uA1jKM94X-dSn1naKX8XwdXQafhlqB_58t_j4-NTYNjjdJdRVTHNdSQ/qX0_Q8PMppTvmF34rJeaxZ9gO8lD7SZqhzC6J5EVJII)
So Delicious,"Produces So Delicious brand plant-based milks (almond, coconut, and cashew-based), ice cream and frozen desserts, yogurts, and creamers. ",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy,Cheese",,"Almond,Coconut,Oat,Cashew",U.S. and Canada,United States,Oregon,Eugene,http://sodeliciousdairyfree.com/,1987,,SoDelicious_Logo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/2AJ7fjMRyBhvFkofMkou0A/k1qTWY1Dzc-3bxH4qZN3BjS-hQT_Va3woYuoaxDNW6TtCefz0dB2CIXkjgEjb_pexu-uj03ZpqmX6UvINf6AvnI7FgEvyLRGxCzGnCcB0Rqrca1anLU8Sx_4FNeAB73jESuwy0_BIpmW_Ey6p9yijg/IL_PK51_cvbUBdryQki_R4XBhSu8Qy69D89l-Nl6woc)
Morningstar Farms,"Produces Morningstar Farms brand meat alternatives, including breakfast products, chicken, beef, veggie burgers, bowls, and more. Widely available in mainstream grocery stores.",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Beef/veal,Pork","Wheat,Soy",U.S. and Canada,United States,Michigan,Battle Creek,https://www.morningstarfarms.com/,1967,,msf_logo.svg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/LRKZ9huA1E9YcXVgDH1FyA/DQFi7JHsUkJqd7YHKF95ZmoEb7jSLcnIRpC1qNmAPtJukuErSX-JCsB2aTFclgYVHtktBig8CJu8zhln1G3cJOYaJVfyrFomwIaHsLm9i5oabp6FOqnOBShfAnPsNgpPgz7QBgAaOdpYHz1CVjU9ow/ENrIZQRmvD6uA7qxRfXArftg__B_3GG_yJJy5TFBd1I)
Sol Cuisine,"Produces veg-forward burgers & appetizers, falafel, and plant based meats (burgers, breakfast, chicken, meatballs, fish).  Expanding to US market.",Plant-based,"Meat,Contract manufacturing/processing,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,"Fish,Chicken,Beef/veal","Soy,Wheat",U.S. and Canada,Canada,ON,Mississauga,https://solcuisine.com/,1980,Dror Balshine,solcuisine.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/b-dmk6FxOpBdWLXTn7bWfg/qZDIvU5kAHLuekVaFnUo4udFrTdkoOJpA0hCgfMnFhDu4UYaD7BmD-Aw2YXBCkhuJf7xTMOF-6ycBz_LuN_ZbwAHkAVBg2TXPlqi2CTAuoVKs88KVZro4f63PtQHi2jQpiMZCrINNGnrxi4U5Jrn0A/bexIBYE4m__FtDdQTNogbaHwbgr3T_E1JMy8Wr8QVjk)
Marvelous Foods, Plant-based food company in China that produces dairy-free coconut yogurt,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,Coconut,Asia Pacific,Mainland China,,Beijing,https://marvelousfoods.com/,2018,Christiana Zhu,Marvelous+Foods+logo+-+Long.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/tsYpckV8zkGKCjjwR7dK-Q/XgHcDL4dHHjN_CNPJxWEdXy3dl9yUbffaIp8_1Ho45sQEvaiQ4IMA92eCbWWw72ZmbXiI-ocDEXr7_wzJKc65iJALv--HqdAScoLZjw1Xy-2vnGULYwfV7mAAmTvzX1f-wBVaOsKoWSTJb1JDg9iuAoH9VWhZd24Qu72ylp9B44/l8tvYCC8pFP3BetbyVCp6bBzrSv4pShSL-4nN6YzTvI)
Sustainable Foods (frm. The Craft Meat Co),Maker of a plant-based mince with other products in development ,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Other,"Soy,Wheat",Australia/New Zealand,New Zealand,,Dunedin,https://www.plan-t.earth/,2019,,sustainable_foods_limited_logo.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/EYqednA8GS8ZUHZaENqFmA/WF0EUO_jn3TUW_2diLVPvibFk6vL76CIci0lBcWPQEPMthyH3GDFEFGis7D2LyHvoPnWf1HaX6q-9clStIbIZmSugj3gO-xMPP5APpkhEDsTc7j_1D-hTKsFH39h6GyWcPwrVF_cuu9OYEP5etB10uDKhoybBDq3eTEjw9wZLt4/wybyJpy_EUJsNQidvmdJ-rm7hYgQOloZe8Zl4Vtv6B0)
PAOW!,Produces a plant-based meat substitute. Formerly branded as Oumph!,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,Soy,U.S. and Canada,United States,Florida,Lake Worth,https://getpaow.com/,2018,Anders Linden,Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/DCtV2ykrhtnA3MfsZDZCzw/rhoAnqR6Qvgx4xiPw22fcBZfgxvg3hKeBsu1-1BkkW1IrTeIb71IJ3iqobaXgaG-WQJJluTzIRmOTbN3PyOlBWtfrVIbT_skp5VT6IMP11nC7GJinnlfasf67fwoJs6xQf9An9LUAFikHQVc2JvAyQ/TDmybmVieJ3blIb47tzx2DYNirlXJ0slSPqIWQWFwxc)
Hooked Foods,Swedish maker of plant-based seafood. ,Plant-based,"Meat,Contract manufacturing/processing,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Other,Fish,,Europe,Sweden,,Stockholms,https://www.hookedfoods.com/,2019,"Emil Wasteson, Tom Johansson",1602153347620.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/lvYJw1cSkgSFohkZZBDYIQ/_1a3kFdyUCeWw6SgJaIpuqvvGXbMXVQg47pq0Ndk49aF_uvMGO8nbaf1tw7WQKKjZGNibmJFmtmOCIAAmrnsrt5Prmlse7fNdMkEvmZ4SPeehj9xm5pFFxxz1sdCN5QYeAWjIvskMA1Jz3RGBqCvCw/z3l_hAE2KXx8CdRci_VB3qm0pxJbRZ2OHR5BtdGDPUc)
Rilbite,Maker of a plant-based burger seeking biomimicry,Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,Beef/veal,"Soy,Coconut",Africa/Middle East,Israel,,Ashdod,https://www.rilbite.com/,2017,Barak Melamed,rilbite.PNG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/mbETs_LtrDCFtIjsqX4Nvg/AamBGsB1ruCGmoqUI9drgxu6FadpnGsJKh0G5Mok0SeXv-dyl8fTD7AhuoXqxgTvMj_AHZ4d6DwoAEJWTnTjL1tFx0yFXVavNS0qaelO-LzxYGZmwHjB5M75ha_GHEwpPVk4ePKweHSPJ7SKUJAoag/GnNws3exat5nVlA6u7b9ikW9Jc_6dSwnxaBVEspYIac)
El Burrito,"Produces a line of soy-based meat products such as soyrizo, ground meat, taco filing, sausage, and pepperoni",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Pork",Soy,U.S. and Canada,United States,California,City of Industry,http://elburrito.com/,1980,"Mark Roth, Grace Roth",logo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/iihI1CrGSnV8SsBMXirjXA/sTKxivz2YsK3c-t_Ijk6JSO57hQyIoRi7CokwzUic0TFPtz_f1t9S5NBFWzylizFMc-VLNiudnJS4ck2xbSPvwsgJBhthm-e9pN9TFZp9HT2mNyBODVRXUOttOqai30fCkrm8BoyWcRKdfIEEILtLw/8m67NiousLhxVoT-rckV-RwBELehtZ61KB5BN5NiIUc)
